Pos,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Name-additional
1B,Guerrero Jr.,23,160,706,638,90,175,35,0,32,97,8,3,58,116,.274,.339,.480,.818,132,306,26,6,0,4,6,guerrvl02
3B,Chapman,29,155,621,538,83,123,27,1,27,76,2,2,68,170,.229,.324,.433,.757,115,233,7,10,0,5,1,chapmma01
CF,Springer,32,133,583,513,89,137,22,4,25,76,14,2,54,100,.267,.342,.472,.814,131,242,7,7,0,5,1,springe01
RF,Hernandez,29,131,535,499,71,133,35,1,25,77,6,3,34,152,.267,.316,.491,.807,127,245,18,2,0,0,0,hernate01
SS,Bichette,24,159,697,652,91,189,43,1,24,93,13,8,41,155,.290,.333,.469,.802,127,306,21,2,0,2,0,bichebo01
C,Jansen,27,72,248,215,34,56,10,0,15,44,1,0,25,44,.260,.339,.516,.855,141,111,1,3,0,5,1,janseda01
C,Kirk,23,139,541,470,59,134,19,0,14,63,0,0,63,58,.285,.372,.415,.786,126,195,11,4,0,4,2,kirkal01
2B,Espinal,27,135,491,449,51,120,25,0,7,51,6,6,36,68,.267,.322,.370,.692,99,166,12,2,1,3,1,espinsa01
OF,Tapia,28,128,433,411,47,109,20,3,7,52,8,2,16,81,.265,.292,.380,.672,91,156,12,0,3,1,0,tapiara01
IF,Biggio,27,97,303,257,43,52,18,1,6,24,2,0,38,85,.202,.318,.350,.668,92,90,2,6,1,1,0,biggica01
LF,Gurriel Jr.,28,121,493,453,52,132,32,1,5,52,3,4,31,83,.291,.343,.400,.743,113,181,11,6,0,2,1,gurrilo01
UT,Merrifield,33,44,130,121,19,34,5,0,5,16,1,2,8,24,.281,.323,.446,.769,118,54,3,0,0,1,0,merriwh01
DH,Collins,27,26,79,72,7,14,4,0,4,10,0,0,6,31,.194,.266,.417,.682,92,30,0,1,0,0,0,colliza01
CF,Zimmer,29,100,101,89,14,9,4,0,2,5,3,2,5,41,.101,.200,.213,.413,19,19,0,6,1,0,0,zimmebr01
OF,Bradley Jr.,32,40,80,73,9,13,4,0,1,9,0,0,7,19,.178,.250,.274,.524,51,20,2,0,0,0,0,bradlja02
C,Moreno,22,25,73,69,10,22,1,0,1,7,0,0,4,8,.319,.356,.377,.733,111,26,2,0,0,0,0,morenga01
