Pos,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,Name-additional
SP,Manoah,24,16,7,.696,2.24,31,31,0,0,0,0,196.2,144,55,49,16,51,0,180,15,0,5,786,174,3.35,0.992,6.6,0.7,2.3,8.2,3.53,manoaal01
SP,Gausman,31,12,10,.545,3.35,31,31,0,0,0,0,174.2,188,72,65,15,28,0,205,1,2,2,725,116,2.38,1.237,9.7,0.8,1.4,10.6,7.32,gausmke01
SP,Berrios,28,12,7,.632,5.23,32,32,0,0,0,0,172.0,199,103,100,29,45,0,149,11,0,3,753,74,4.55,1.419,10.4,1.5,2.4,7.8,3.31,berrijo01
SP,Stripling,32,10,4,.714,3.01,32,24,2,0,0,1,134.1,117,49,45,12,20,0,111,2,0,0,536,129,3.11,1.020,7.8,0.8,1.3,7.4,5.55,stripro01
SP,Kikuchi,31,6,7,.462,5.19,32,20,4,0,0,1,100.2,93,67,58,23,58,0,124,9,0,3,454,75,5.62,1.500,8.3,2.1,5.2,11.1,2.14,kikucyu01
CL,Romano,29,5,4,.556,2.11,63,0,52,0,0,36,64.0,44,18,15,4,21,4,73,4,0,0,258,185,2.82,1.016,6.2,0.6,3.0,10.3,3.48,romanjo03
RP,Cimber,31,10,6,.625,2.80,77,0,15,0,0,4,70.2,66,28,22,6,13,1,58,8,0,1,293,139,3.47,1.118,8.4,0.8,1.7,7.4,4.46,cimbead01
RP,Richards,29,3,2,.600,5.34,62,4,10,0,0,0,64.0,57,41,38,9,35,1,82,1,0,3,281,73,4.07,1.438,8.0,1.3,4.9,11.5,2.34,richatr01
RP,Phelps,35,0,2,.000,2.83,65,1,11,0,0,1,63.2,52,22,20,2,31,0,64,4,0,3,272,138,3.16,1.304,7.4,0.3,4.4,9.0,2.06,phelpda01
RP,Mayza,30,8,1,.889,3.14,63,0,9,0,0,2,48.2,42,19,17,7,12,2,44,1,1,2,193,125,3.98,1.110,7.8,1.3,2.2,8.1,3.67,mayzati01
RP,Garcia,31,4,5,.444,3.10,61,0,9,0,0,1,61.0,48,26,21,6,16,3,58,4,1,1,247,126,3.47,1.049,7.1,0.9,2.4,8.6,3.63,garciyi01
RP,Thornton,28,0,2,.000,4.11,32,0,6,0,0,0,46.0,40,21,21,7,17,0,37,1,0,1,189,95,4.66,1.239,7.8,1.4,3.3,7.2,2.18,thorntr01
RP,White,27,0,5,.000,7.74,10,8,1,0,0,0,43.0,59,37,37,3,16,0,31,1,0,1,203,51,3.76,1.744,12.3,0.6,3.3,6.5,1.94,whitemi03
RP,Ryu,35,2,0,1.000,5.67,6,6,0,0,0,0,27.0,32,17,17,5,4,0,16,0,0,0,113,70,4.78,1.333,10.7,1.7,1.3,5.3,4.00,ryuhy01
RP,Merryweather,30,0,3,.000,6.75,26,1,6,0,0,0,26.2,31,20,20,4,7,1,23,2,0,1,119,58,4.35,1.425,10.5,1.4,2.4,7.8,3.29,merryju01
RP,Bass,34,2,0,1.000,1.75,28,0,5,0,0,0,25.2,19,5,5,5,10,1,28,0,0,1,102,225,4.63,1.130,6.7,1.8,3.5,9.8,2.80,bassan01
RP,Castillo,23,0,0,,3.05,9,2,4,0,0,0,20.2,15,9,7,4,5,0,20,0,0,1,81,130,4.42,0.968,6.5,1.7,2.2,8.7,4.00,castima03
RP,Pop,25,2,0,1.000,1.89,17,0,2,0,0,0,19.0,18,4,4,1,2,0,11,1,0,0,74,209,3.11,1.053,8.5,0.5,0.9,5.2,5.50,popza01
RP,Lawrence,34,0,1,.000,7.50,6,0,2,0,0,0,18.0,23,15,15,5,4,0,11,1,0,0,79,53,6.33,1.500,11.5,2.5,2.0,5.5,2.75,lawreca01
RP,Beasley,26,0,0,,4.80,9,0,5,0,0,0,15.0,14,9,8,4,5,0,19,2,0,0,64,83,5.45,1.267,8.4,2.4,3.0,11.4,3.80,beaslje01
